Initial setup information
Sensor Model, MA24126A
Sensor Serial No, 1833505
Frequency, 0.01, GHz
Fixed Offset, 0, dB
Sample Interval, Full Speed
Any setup information is not updated during data logging.
7:58:49, -14.161 ,dBm
7:58:49, -14.163 ,dBm
7:58:49, -14.165 ,dBm
7:58:49, -14.178 ,dBm
7:58:49, -14.176 ,dBm
7:58:49, -14.176 ,dBm
7:58:49, -14.165 ,dBm
7:58:49, -14.172 ,dBm
7:58:49, -14.189 ,dBm
7:58:50, -14.202 ,dBm
7:58:50, -14.226 ,dBm
7:58:50, -14.23 ,dBm
7:58:50, -14.24 ,dBm
7:58:50, -14.244 ,dBm
7:58:50, -14.246 ,dBm
7:58:50, -14.246 ,dBm
7:58:50, -14.238 ,dBm
7:58:50, -14.244 ,dBm
7:58:50, -14.249 ,dBm
7:58:50, -14.247 ,dBm
7:58:51, -14.236 ,dBm
7:58:51, -14.237 ,dBm
7:58:51, -14.235 ,dBm
7:58:51, -14.223 ,dBm
7:58:51, -14.225 ,dBm
7:58:51, -14.241 ,dBm
7:58:51, -14.238 ,dBm
7:58:51, -14.229 ,dBm
7:58:51, -14.228 ,dBm
7:58:51, -14.225 ,dBm
7:58:52, -14.224 ,dBm
7:58:52, -14.23 ,dBm
7:58:52, -14.246 ,dBm
7:58:52, -14.247 ,dBm
7:58:52, -14.238 ,dBm
7:58:52, -14.229 ,dBm
7:58:52, -14.229 ,dBm
7:58:52, -14.23 ,dBm
7:58:52, -14.234 ,dBm
7:58:52, -14.241 ,dBm
7:58:53, -14.231 ,dBm
7:58:53, -14.211 ,dBm
7:58:53, -14.206 ,dBm
7:58:53, -14.207 ,dBm
7:58:53, -14.211 ,dBm
7:58:53, -14.216 ,dBm
7:58:53, -14.226 ,dBm
7:58:53, -14.226 ,dBm
7:58:53, -14.211 ,dBm
7:58:53, -14.21 ,dBm
7:58:54, -14.214 ,dBm
7:58:54, -14.224 ,dBm
7:58:54, -14.229 ,dBm
7:58:54, -14.234 ,dBm
7:58:54, -14.225 ,dBm
7:58:54, -14.214 ,dBm
7:58:54, -14.19 ,dBm
7:58:54, -14.182 ,dBm
7:58:54, -14.178 ,dBm
7:58:54, -14.184 ,dBm
7:58:55, -14.194 ,dBm
7:58:55, -14.198 ,dBm
7:58:55, -14.197 ,dBm
7:58:55, -14.19 ,dBm
7:58:55, -14.193 ,dBm
7:58:55, -14.194 ,dBm
7:58:55, -14.203 ,dBm
7:58:55, -14.221 ,dBm
7:58:55, -14.232 ,dBm
7:58:55, -14.224 ,dBm
7:58:56, -14.22 ,dBm
7:58:56, -14.214 ,dBm
7:58:56, -14.202 ,dBm
7:58:56, -14.19 ,dBm
7:58:56, -14.197 ,dBm
7:58:56, -14.206 ,dBm
7:58:56, -14.205 ,dBm
7:58:56, -14.196 ,dBm
7:58:56, -14.194 ,dBm
7:58:56, -14.2 ,dBm
7:58:57, -14.188 ,dBm
7:58:57, -14.178 ,dBm
7:58:57, -14.192 ,dBm
7:58:57, -14.192 ,dBm
7:58:57, -14.188 ,dBm
7:58:57, -14.186 ,dBm
7:58:57, -14.182 ,dBm
7:58:57, -14.173 ,dBm
7:58:57, -14.168 ,dBm
7:58:57, -14.171 ,dBm
7:58:58, -14.18 ,dBm
7:58:58, -14.19 ,dBm
7:58:58, -14.181 ,dBm
7:58:58, -14.182 ,dBm
7:58:58, -14.179 ,dBm
7:58:58, -14.174 ,dBm
7:58:58, -14.172 ,dBm
7:58:58, -14.178 ,dBm
7:58:58, -14.183 ,dBm
7:58:58, -14.177 ,dBm
7:58:59, -14.173 ,dBm
7:58:59, -14.161 ,dBm
7:58:59, -14.156 ,dBm
7:58:59, -14.161 ,dBm
7:58:59, -14.167 ,dBm
7:58:59, -14.157 ,dBm
7:58:59, -14.15 ,dBm
7:58:59, -14.153 ,dBm
7:58:59, -14.149 ,dBm
7:58:59, -14.145 ,dBm
7:59:0, -14.153 ,dBm
7:59:0, -14.154 ,dBm
7:59:0, -14.145 ,dBm
7:59:0, -14.144 ,dBm
7:59:0, -14.156 ,dBm
7:59:0, -14.166 ,dBm
7:59:0, -14.173 ,dBm
7:59:0, -14.19 ,dBm
7:59:0, -14.197 ,dBm
7:59:0, -14.192 ,dBm
